id,region,neighbourhood,room_type,price,number_of_reviews,availability_365,price_log,price_log_median,occupancy_proxy,occupancy_ord,reviews_log,popularity_score,potential_revenue_score
607789942768692943,Central,Vadhana,Entire home/apt,3100,0,149,8.03947991910045,7.460202536033221,0.5917808219178082,3,0.0,1,22.380607608099663
608519400465826585,Central,Parthum Wan,Private room,2495,8,103,7.822444729489319,7.313886831633462,0.7178082191780821,3,2.1972245773362196,3,65.82498148470115
608865061476994890,Central,Khlong Toei,Entire home/apt,4197,29,70,8.342363500380579,7.460202536033221,0.8082191780821918,3,3.4011973816621555,3,67.14182282429898
608915675028622799,Central,Khlong Toei,Entire home/apt,1200,1,316,7.0909098220799835,7.460202536033221,0.13424657534246576,2,0.6931471805599453,3,44.761215216199325
609035525042684567,Central,Vadhana,Private room,750,9,271,6.621405651764134,7.313886831633462,0.2575342465753425,2,2.302585092994046,3,43.88332098980077
609190368899652123,Central,Khlong Toei,Entire home/apt,1000,23,302,6.90875477931522,7.460202536033221,0.17260273972602735,2,3.1780538303479458,3,44.761215216199325
609300676810062241,Central,Vadhana,Entire home/apt,1200,2,365,7.0909098220799835,7.460202536033221,0.0,1,1.0986122886681098,3,22.380607608099663
625301534077311699,Central,Ratchathewi,Private room,1343,0,283,7.203405521083095,7.313886831633462,0.2246575342465753,2,0.0,1,14.627773663266924
625388037372530932,Central,Ratchathewi,Private room,1200,1,292,7.0909098220799835,7.313886831633462,0.19999999999999996,2,0.6931471805599453,3,43.88332098980077
625388969617997275,Central,Ratchathewi,Private room,1486,2,341,7.304515946460155,7.313886831633462,0.0657534246575342,2,1.0986122886681098,3,43.88332098980077
617749003175961950,Central,Vadhana,Entire home/apt,2100,30,23,7.650168700845001,7.460202536033221,0.936986301369863,3,3.4339872044851463,3,67.14182282429898
625564255180170483,Central,Vadhana,Entire home/apt,1450,0,148,7.280008252884188,7.460202536033221,0.5945205479452055,3,0.0,1,22.380607608099663
625573740008882279,Central,Vadhana,Entire home/apt,1450,1,160,7.280008252884188,7.460202536033221,0.5616438356164384,3,0.6931471805599453,3,67.14182282429898
617873047355471250,Central,Vadhana,Private room,1550,0,360,7.346655163176539,7.313886831633462,0.013698630136986356,1,0.0,1,7.313886831633462
625743655527634447,Central,Khlong Toei,Entire home/apt,2970,7,328,7.9966538754626075,7.460202536033221,0.10136986301369866,2,2.0794415416798357,3,44.761215216199325
625888441384177508,Central,Vadhana,Private room,1986,5,303,7.594381242551817,7.313886831633462,0.1698630136986301,2,1.791759469228055,3,43.88332098980077
618321098894203896,Central,Vadhana,Entire home/apt,1350,1,204,7.208600337960199,7.460202536033221,0.44109589041095887,2,0.6931471805599453,3,44.761215216199325
627216745394902584,Central,Vadhana,Entire home/apt,1807,7,130,7.4999765409521215,7.460202536033221,0.6438356164383562,3,2.0794415416798357,3,67.14182282429898
627843907489104203,Central,Khlong Toei,Entire home/apt,3109,33,62,8.04237800517328,7.460202536033221,0.8301369863013699,3,3.5263605246161616,3,67.14182282429898
