,id,host_id,neighbourhood,region,room_type,price,minimum_nights,reviews_count_bc,reviews_activity,reviews_month_bc,reviews_engagement
4214,10710165,55347997,Vadhana,Central,Private room,1000,1,0.0,Low,0.0,Low
4215,10711039,55354090,Vadhana,Central,Private room,3000,30,0.0,Low,0.0,Low
4216,11337267,32143083,Khlong Toei,Central,Private room,830,90,1.4816574461023837,High,0.1691751791471629,High
4217,11803706,62857245,Parthum Wan,Central,Private room,1250,1,0.0,Low,0.0,Low
4218,11496230,60178359,Vadhana,Central,Private room,1793,7,1.1702595432342837,High,0.05918597758997901,Moderate
4219,11088926,57577779,Vadhana,Central,Private room,1200,1,0.0,Low,0.0,Low
4220,11535487,32317869,Vadhana,Central,Private room,570,1,1.4762634892767974,High,0.1667586721568468,High
4221,11559708,61052508,Khlong Toei,Central,Private room,1136,30,0.5715166463131642,Moderate,0.009752640509747872,Low
4222,11951205,56782854,Ratchathewi,Central,Private room,3500,1,1.3000283197738642,High,0.09641479086722313,High
4223,11584864,61109955,Parthum Wan,Central,Private room,1100,1,0.814113811661196,Moderate,0.027859197535202357,Moderate
4224,11585039,61109955,Parthum Wan,Central,Private room,1200,1,0.0,Low,0.0,Low
4225,11586194,32317869,Vadhana,Central,Private room,700,1,1.554007662164187,High,0.21021079282599017,High
4226,11592690,32317869,Vadhana,Central,Private room,700,1,1.4762634892767974,High,0.17590051137465054,High
4227,11595277,58531222,Vadhana,Central,Private room,1899,2,0.0,Low,0.0,Low
4228,11596346,58531222,Vadhana,Central,Private room,2299,1,0.5715166463131642,Moderate,0.009752640509747872,Low
4229,12765905,42891041,Vadhana,Central,Private room,1200,30,0.0,Low,0.0,Low
4230,12796902,8444643,Khlong Toei,Central,Private room,1399,1,1.371424246097035,High,0.11620162751572123,High
4231,12801482,69748617,Ratchathewi,Central,Private room,1212,1,0.0,Low,0.0,Low
4232,12815419,32317869,Vadhana,Central,Private room,900,1,0.9549387565401973,Moderate,0.03626627760946124,Moderate
4233,12222879,33330254,Khlong Toei,Central,Private room,850,6,0.0,Low,0.0,Low
4234,12255834,41535011,Ratchathewi,Central,Private room,1747,2,0.0,Low,0.0,Low
4235,12117194,60178359,Vadhana,Central,Private room,1793,7,0.0,Low,0.0,Low
4236,12121841,63805133,Vadhana,Central,Private room,3463,1,1.0491876454521514,High,0.044275079495442,Moderate
4237,12281386,37363663,Vadhana,Central,Private room,1064,30,0.5715166463131642,Moderate,0.19512432655792483,High
4238,12862003,8444643,Vadhana,Central,Private room,1399,1,1.3213608571005129,High,0.10169279614963159,High
4239,13240263,19675178,Parthum Wan,Central,Private room,1500,180,1.3400630129987101,High,0.10674221361155395,High
4240,12336942,63805133,Vadhana,Central,Private room,3117,1,1.2465570681404392,High,0.07908005789038217,Moderate
4241,13271277,72470323,Khlong Toei,Central,Private room,1290,1,1.2465570681404392,High,0.07908005789038217,Moderate
