,region,neighbourhood,longitude,latitude,room_type,price,number_of_reviews,booking_activity,log_reviews
9118,Southwest,Sathon,100.54643,13.72149,Entire home/apt,1500,3,365,1.3862943611198906
9125,Southwest,Samphanthawong,100.50568,13.7388,Shared room,388,0,1,0.0
9127,Southwest,Bang Kho laen,100.51541,13.69998,Private room,566,0,1,0.0
9132,Southwest,Thung khru,100.50435,13.63364,Private room,640,1,278,0.6931471805599453
9134,Southwest,Bang Rak,100.51902,13.72325,Entire home/apt,1800,0,185,0.0
9146,Southwest,Khlong San,100.50869,13.72468,Entire home/apt,1971,3,346,1.3862943611198906
9153,Southwest,Khlong San,100.51059,13.72613,Entire home/apt,1939,0,346,0.0
9160,Southwest,Khlong San,100.51055,13.72641,Entire home/apt,1939,3,346,1.3862943611198906
9164,Southwest,Thung khru,100.50122,13.65762,Entire home/apt,1057,5,365,1.791759469228055
9175,Southwest,Bang Rak,100.51678,13.7197,Entire home/apt,2200,81,89,4.406719247264253
9178,Southwest,Rat Burana,100.51911,13.67746,Entire home/apt,750,4,4,1.6094379124341003
